objectid,title,prompt_sha256,model,provider,created,id,request_started_utc,request_ended_utc,latency_seconds,finish_reason,content,usage_prompt_tokens,usage_completion_tokens,usage_total_tokens,usage_cost,error
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,google/gemini-2.5-flash-lite,Google,1761082530,gen-1761082530-F2jT7cMM0wMtzp9kGBLX,2025-10-21T21:35:30+00:00,2025-10-21T21:35:35+00:00,5.417452,stop,"Karte mit lila Linien, die Korrespondenzwege von 1865 bis 1894 darstellen und ein globales Netzwerk von Basel aus zeigen.",2467,32,2499,0.0002595,
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,qwen/qwen3-vl-8b-instruct,Novita,1761082535,gen-1761082535-v8SSsIixL6Q4sxRv8yrq,2025-10-21T21:35:35+00:00,2025-10-21T21:35:38+00:00,2.383255,stop,"Netzwerkdiagramm der Korrespondenz der Firma Forcart-Weis & Burckhardt-Wildt (1865–1894). Basel als Zentrum mit Verbindungen zu Europa, Nordamerika und Südamerika.",1232,57,1289,0.00012706,
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,openai/gpt-4o-mini,OpenAI,1761082538,gen-1761082538-gcry89NSrkaCXRvUnyMZ,2025-10-21T21:35:38+00:00,2025-10-21T21:35:42+00:00,4.208854,stop,"Karte mit Verbindungen der Firma Forcart-Weis & Burckhardt-Wildt (1865–1894). Zentrale Orte wie Basel, Zürich und Hamburg sind hervorgehoben, unterstützt von lila Linien, die internationale Korrespondenzwege darstellen. Die Karte zeigt ein Netzwerk, das verschiedene Länder erreicht. Inklusive Städte wie New York, Londres und Konstantinopel.",26149,81,26230,0.00397095,
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,meta-llama/llama-4-maverick,Google,1761082542,gen-1761082542-OTYf04xPoJ25UpP7NI5H,2025-10-21T21:35:42+00:00,2025-10-21T21:35:45+00:00,2.819444,stop,"Karte zeigt Herkunftsorte der Geschäftskorrespondenz an Forcart-Weis & Burckhardt-Wildt, 1865–1894; Basel als Zentrum mit Verbindungen nach Europa, Amerika und Asien.",1725,47,1772,0.0006578,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,google/gemini-2.5-flash-lite,Google,1761082545,gen-1761082545-YorBhBwql2E4PfdMI1mM,2025-10-21T21:35:45+00:00,2025-10-21T21:35:47+00:00,1.932285,stop,"Splitter einer Bombe. Dunkler, unregelmässiger Stein mit angehängter Kette und Haken.",2399,25,2424,0.0002499,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,qwen/qwen3-vl-8b-instruct,DeepInfra,1761082547,gen-1761082547-8jhIUJDIPcCOBmp0lSBE,2025-10-21T21:35:47+00:00,2025-10-21T21:35:48+00:00,1.901913,stop,"Rostiger Eisenfragment mit Kette, vermutlich Bombenteil aus der Festung Hüningen, 1815.",1201,29,1230,0.00023619,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,openai/gpt-4o-mini,OpenAI,1761082549,gen-1761082549-VDPdjrhjOYQCjCttOZ1n,2025-10-21T21:35:48+00:00,2025-10-21T21:35:51+00:00,2.214287,stop,"Splitter einer Bombe aus der Festung Hüningen, 1815. Dunkler, kantiger Bombensplitter mit einer metallenen Kette, die daran befestigt ist. Die Oberfläche ist rustikal und zeigt Spuren von Gebrauch.",26101,48,26149,0.00394395,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,meta-llama/llama-4-maverick,Novita,1761082551,gen-1761082551-B5dbtdSccvUpY7RJURiZ,2025-10-21T21:35:51+00:00,2025-10-21T21:35:53+00:00,2.164166,stop,"Zwei dunkle Bombensplitter, mit rostiger Kette verbunden, 1815.",1600,21,1621,0.00028985,
m95804,Abbruch des St. Johanns­-Schwibbogens,d3515370015ba6c27ff59c1acbfbd7474d065d74beb18e700cb961b39344c28a,google/gemini-2.5-flash-lite,Google,1761082553,gen-1761082553-UNacwDmioqDUs1JMJEyY,2025-10-21T21:35:53+00:00,2025-10-21T21:35:55+00:00,2.473378,stop,Abbruch des St. Johanns­-Schwibbogens 1874. Arbeiter auf einem Gerüst demontieren den Bogen.,1963,29,1992,0.0002079,
m95804,Abbruch des St. Johanns­-Schwibbogens,d3515370015ba6c27ff59c1acbfbd7474d065d74beb18e700cb961b39344c28a,qwen/qwen3-vl-8b-instruct,Novita,1761082555,gen-1761082555-bGJrff0E5eotWkRxEYYW,2025-10-21T21:35:55+00:00,2025-10-21T21:35:58+00:00,2.311486,stop,"Abbruch des St. Johanns-Schwibbogens im 19. Jahrhundert. Steinbogen mit Bruchstücken und Arbeitern; Umgebung städtisch, Gebäude an beiden Seiten.",1380,48,1428,0.0001344,
m95804,Abbruch des St. Johanns­-Schwibbogens,d3515370015ba6c27ff59c1acbfbd7474d065d74beb18e700cb961b39344c28a,openai/gpt-4o-mini,OpenAI,1761082558,gen-1761082558-4iHswYBRV5fKEd9V39AF,2025-10-21T21:35:58+00:00,2025-10-21T21:36:02+00:00,4.591017,stop,"Abbruch des St. Johanns-Schwibbogens, 1874. Baustelle mit Arbeiter:innen, die an der Zerstörung des mittelalterlichen Bogens und der innerstädtischen Mauer arbeiten. Im Vordergrund ist ein voll beladener Handkarren sichtbar, umgeben von Steintrümmern. Auf beiden Seiten der Straße stehen historische Gebäude.",26175,77,26252,0.00397245,
m95804,Abbruch des St. Johanns­-Schwibbogens,d3515370015ba6c27ff59c1acbfbd7474d065d74beb18e700cb961b39344c28a,meta-llama/llama-4-maverick,Parasail,1761082562,gen-1761082562-7gUqSbt6T0tgUYTGjWUi,2025-10-21T21:36:02+00:00,2025-10-21T21:36:05+00:00,2.457656,stop,"Abbruch des St. Johanns-Schwibbogens 1874, Schutt und Mauersteine liegen auf dem Boden.",2116,27,2143,0.00034035,
m94775,"‹Merkwürdige Seltenheit›, Illustration zu einer Anzeige in den ‹Wöchentlichen Nach­richten › vom 30. Oktober 1834",5da1631f2f991f5fb770321671070e0d41e7cc2a534cb219fed1f4b926b34085,google/gemini-2.5-flash-lite,Google,1761082565,gen-1761082565-Wr5pxY7C2naSc0B0lE5a,2025-10-21T21:36:05+00:00,2025-10-21T21:36:07+00:00,2.318195,stop,Eine Illustration zeigt einen Afrikaner der Ashantee-Nation.,1895,12,1907,5.804e-05,
m94775,"‹Merkwürdige Seltenheit›, Illustration zu einer Anzeige in den ‹Wöchentlichen Nach­richten › vom 30. Oktober 1834",5da1631f2f991f5fb770321671070e0d41e7cc2a534cb219fed1f4b926b34085,qwen/qwen3-vl-8b-instruct,Novita,1761082567,gen-1761082567-r33vcbemmF4gdUchwABp,2025-10-21T21:36:07+00:00,2025-10-21T21:36:10+00:00,2.798469,stop,"Afrikanischer Mann in traditioneller Kleidung, aufgerufen als „Ashanté“ für eine Herbstmesse-Anzeige 1834. Textausschnitt aus einer Zeitung mit Ankündigung seiner Präsentation in Basel.",1278,55,1333,0.00012974,
