objectid,title,prompt_sha256,model,provider,created,id,request_started_utc,request_ended_utc,latency_seconds,finish_reason,content,usage_prompt_tokens,usage_completion_tokens,usage_total_tokens,usage_cost,error
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,google/gemini-2.5-flash-lite,Google,1761080928,gen-1761080928-EnxiUHCuIiakAk3CF8yj,2025-10-21T21:08:48+00:00,2025-10-21T21:08:51+00:00,3.080378,stop,"Karte globaler Geschäftsverbindungen der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894. Dargestellt sind Korrespondenzströme von verschiedenen internationalen Orten nach Basel.",2467,47,2514,0.0002655,
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,qwen/qwen2.5-vl-72b-instruct,Nebius,1761080932,gen-1761080932-kE27MgIjz7DS74cRWQqM,2025-10-21T21:08:51+00:00,2025-10-21T21:08:56+00:00,4.491901,stop,"Weltkarte mit violett markierten Verbindungen zwischen Basel und verschiedenen Städten wie New York, Buenos Aires, London und Hamburg, darstellend das globale Korrespondenznetzwerk der Firma Forcart-Weis & Burckhardt-Wildt von 1865 bis 1894.",1362,72,1434,0.0003945,
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,openai/gpt-4o-mini,OpenAI,1761080936,gen-1761080936-S0DC7o5WR6MJ7fOfoFf3,2025-10-21T21:08:56+00:00,2025-10-21T21:09:01+00:00,5.714275,stop,"Karte mit Verbindungen und Standorten weltweiter Korrespondenzen zur Firma Forcart-Weis & Burckhardt-Wildt zwischen 1865 und 1894. Die Linien zeigen Hauptverkehrsrouten, Ausgangspunkte sind in Schwarz verzeichnet, während die Verbindungslinien in Lila erscheinen. Im Fokus stehen Städte wie Basel, Zürich, Hamburg, New York und London.",26149,81,26230,0.00397095,
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,meta-llama/llama-4-maverick,Google,1761080942,gen-1761080942-5G9CS3Ii7MazrdiMwEoo,2025-10-21T21:09:01+00:00,2025-10-21T21:09:04+00:00,2.606385,stop,"Weltkarte mit Verbindungslinien zwischen Basel und verschiedenen Orten weltweit, u.a. New York, Buenos Aires, Konstantinopel und Batavia; zeigt das Netzwerk der Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894.",1725,62,1787,0.00067505,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,google/gemini-2.5-flash-lite,Google,1761080944,gen-1761080944-wPV1qrZ1l6GCuzGw7TrZ,2025-10-21T21:09:04+00:00,2025-10-21T21:09:06+00:00,2.132556,stop,"Splitter einer Bombe aus der Festung Hüningen, 1815. Dunkler Stein mit Kette und Haken.",2399,27,2426,0.0002507,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,qwen/qwen2.5-vl-72b-instruct,Nebius,1761080948,gen-1761080946-iJutgwB7u24sI2R4NsG9,2025-10-21T21:09:06+00:00,2025-10-21T21:09:10+00:00,3.59417,stop,"Splitter einer Bombe aus der Festung Hüningen, 1815. Dunkler Metallbrocken mit angebrachter Kette und rotem Siegel.",1335,38,1373,0.00036225,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,openai/gpt-4o-mini,OpenAI,1761080950,gen-1761080950-qgTXIK8yuVliHbycYXoL,2025-10-21T21:09:10+00:00,2025-10-21T21:09:13+00:00,2.827686,stop,"Splitter einer Bombe aus der Festung Hüningen, datiert 1815. Der Splitter ist aus Eisen und an einer Kette befestigt. Die Kante ist unregelmäßig und zeigt Spuren von Korrosion. Historisches Artefakt der militärischen Konflikte in der Region Basel.",26101,61,26162,0.00395175,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,meta-llama/llama-4-maverick,Parasail,1761080953,gen-1761080953-fPtGYgKv1yRvJqdOIar9,2025-10-21T21:09:13+00:00,2025-10-21T21:09:14+00:00,1.60995,stop,"Splitter einer Bombe aus der französischen Festung Hüningen, 1815, dunkles Metall, gezackte Bruchkanten.",1611,27,1638,0.0002646,
m95804,Abbruch des St. Johanns­-Schwibbogens,d3515370015ba6c27ff59c1acbfbd7474d065d74beb18e700cb961b39344c28a,google/gemini-2.5-flash-lite,Google,1761080954,gen-1761080954-ax4w8tOQVWpUOYJPuzpV,2025-10-21T21:09:14+00:00,2025-10-21T21:09:16+00:00,1.628447,stop,Abbruch des St. Johanns-Schwibbogens in Basel 1874. Arbeiter demontieren Steinbögen und mauern.,1963,30,1993,0.0002083,
m95804,Abbruch des St. Johanns­-Schwibbogens,d3515370015ba6c27ff59c1acbfbd7474d065d74beb18e700cb961b39344c28a,qwen/qwen2.5-vl-72b-instruct,Nebius,1761080956,gen-1761080956-ob7a7rZ33nHYcyIohzJX,2025-10-21T21:09:16+00:00,2025-10-21T21:09:18+00:00,1.742135,stop,"Arbeiter beim Abbruch des St. Johanns-Schwibbogens in Basel, 1874. Steintrümmer und Wagen vor alter Stadtmauer.",1588,39,1627,0.00042625,
