objectid,title,prompt_sha256,model,provider,created,id,request_started_utc,request_ended_utc,latency_seconds,finish_reason,content,usage_prompt_tokens,usage_completion_tokens,usage_total_tokens,usage_cost,error
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,google/gemini-2.5-flash-lite,Google,1761079306,gen-1761079306-AlxulGM5WxEzjjb31jOh,2025-10-21T20:41:45+00:00,2025-10-21T20:41:48+00:00,2.598924,stop,Karte zeigt Korrespondenznetzwerk der Firma Forcart-Weis & Burckhardt-Wildt von 1865–1894. Linien verbinden Basel mit Orten weltweit.,2467,40,2507,0.0002627,
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,mistralai/pixtral-12b,Hyperbolic,1761079309,gen-1761079309-GANjdAqeXRE6DZn6r3So,2025-10-21T20:41:48+00:00,2025-10-21T20:41:51+00:00,3.149674,,,2042,0,2042,0.0,
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,openai/gpt-4o-mini,OpenAI,1761079312,gen-1761079311-Spi1FU7da1UgpVvMk3hb,2025-10-21T20:41:51+00:00,2025-10-21T20:41:55+00:00,4.276431,stop,"Karte mit Standorten der Korrespondenz an die Firma Forcart-Weis & Burckhardt-Wildt (1865–1894). Zeigt ein Netzwerk internationaler Verbindungen von Basel, Zürich, und weiteren Städten, dargestellt durch Linien in lila.",26149,56,26205,0.00395595,
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,meta-llama/llama-4-maverick,Novita,1761079316,gen-1761079316-tB9Di0PIgZCVx4EuTsIH,2025-10-21T20:41:55+00:00,2025-10-21T20:41:59+00:00,3.188988,stop,"Weltkarte mit violetten Verbindungslinien zwischen Basel und diversen internationalen Städten wie New York, Konstantinopel, Buenos Aires und Batavia, 1865–1894.",1649,39,1688,0.00031348,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,google/gemini-2.5-flash-lite,Google,1761079319,gen-1761079319-fGV4eN3kWJTgFfgqFPDU,2025-10-21T20:41:59+00:00,2025-10-21T20:42:01+00:00,2.044179,stop,"Splitter einer historischen Bombe, am 18. Mai 1815 bei Kampfhandlungen aus der Festung Hüningen abgefeuert. Das Objekt aus Stein misst 10,5 cm Höhe und 15 cm Breite.",2399,50,2449,0.0002599,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,mistralai/pixtral-12b,Hyperbolic,1761079321,gen-1761079321-ZDqRUzNeSMNRnZJ4h2JV,2025-10-21T20:42:01+00:00,2025-10-21T20:42:02+00:00,0.838133,,,2034,0,2034,0.0,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,openai/gpt-4o-mini,OpenAI,1761079322,gen-1761079322-7HgpZTXBizphy9SwSHdf,2025-10-21T20:42:02+00:00,2025-10-21T20:42:04+00:00,2.58763,stop,"Splitter einer Bombe aus der Festung Hüningen, 1815. Dunkles, kantiges Metallstück mit einer daran befestigten, rostigen Kette. Das Objekt weist verschiedene Abnutzungserscheinungen auf und ist nicht mehr vollständig.",26101,49,26150,0.00394455,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,meta-llama/llama-4-maverick,Google,1761079324,gen-1761079324-CXhBcj2CrQ8b2KajjDTr,2025-10-21T20:42:04+00:00,2025-10-21T20:42:06+00:00,1.944658,stop,"Splitter einer Bombe mit Kette, dunkelbraun und rostig, 1815.",1609,20,1629,0.00058615,
m95804,Abbruch des St. Johanns­-Schwibbogens,d3515370015ba6c27ff59c1acbfbd7474d065d74beb18e700cb961b39344c28a,google/gemini-2.5-flash-lite,Google,1761079326,gen-1761079326-nutJeQKiVBohQ162KXXN,2025-10-21T20:42:06+00:00,2025-10-21T20:42:08+00:00,1.605946,stop,Abbruch eines steinernen Schwibbogens mit Schutt und Arbeitern im Jahr 1874.,1963,23,1986,0.0002055,
m95804,Abbruch des St. Johanns­-Schwibbogens,d3515370015ba6c27ff59c1acbfbd7474d065d74beb18e700cb961b39344c28a,mistralai/pixtral-12b,Mistral,1761079328,gen-1761079328-g4vsVtV8dAmziVourSri,2025-10-21T20:42:08+00:00,2025-10-21T20:42:09+00:00,1.013442,stop,"Abbruch des St. Johanns-Schwibbogens. Arbeiter entfernen Teile der inneren Stadtmauer. 19. Jahrhundert, Basel.",3114,32,3146,0.0004719,
m95804,Abbruch des St. Johanns­-Schwibbogens,d3515370015ba6c27ff59c1acbfbd7474d065d74beb18e700cb961b39344c28a,openai/gpt-4o-mini,OpenAI,1761079329,gen-1761079329-Jpcm83xOYfPw15NTXGMW,2025-10-21T20:42:09+00:00,2025-10-21T20:42:12+00:00,3.486749,stop,"Abbruch des St. Johanns-Schwibbogens. Blicke auf den abgetragenen Steinbogen, inmitten von Geröll und Baustellenmaterial. Arbeiter sind mit dem Abriss beschäftigt. Zementierte Wände und Mauern im Hintergrund sind sichtbar. Historische Aufnahme aus Basel, 1874.",26175,67,26242,0.00396645,
